No,ID,JK,Kecamatan,Jenis_Tinggal,Alat_Transportasi,Penerima_KPS,Pekerjaan_Ayah,Penghasilan_Ayah,Pekerjaan_Ibu,Penghasilan_Ibu,Rombel_Saat_Ini,Penerima_KIP,Layak_PIP
11,11,P,Kec. Marpoyan Damai,Bersama orang tua,Sepeda motor,Tidak,Wirausaha,"Rp. 2,000,000 - Rp. 4,999,999",Wirausaha,"Rp. 500,000 - Rp. 999,999",XII IPS 4,Tidak,Tidak
12,12,P,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Wiraswasta,"Rp. 2,000,000 - Rp. 4,999,999",Tidak bekerja,Tidak Berpenghasilan,XI MIPA 1,Tidak,Tidak
13,13,P,Kec. Tampan,Wali,Angkutan umum/bus/pete-pete,Tidak,Wiraswasta,"Rp. 1,000,000 - Rp. 1,999,999",Tidak bekerja,Tidak Berpenghasilan,X MIPA 2,Tidak,Tidak
14,14,P,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Wiraswasta,"Rp. 1,000,000 - Rp. 1,999,999",Tidak bekerja,Tidak Berpenghasilan,XI MIPA 4,Tidak,Tidak
15,15,P,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Wiraswasta,"Rp. 1,000,000 - Rp. 1,999,999",PNS/TNI/Polri,"Rp. 2,000,000 - Rp. 4,999,999",XI MIPA 1,Tidak,Tidak
16,16,P,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Wiraswasta,"Rp. 2,000,000 - Rp. 4,999,999",Tidak bekerja,Tidak Berpenghasilan,XII IPS 1,Ya,Tidak
17,17,P,Kec. Bukit Raya,Bersama orang tua,Sepeda motor,Tidak,Sudah Meninggal,Tidak Berpenghasilan,Tidak bekerja,Tidak Berpenghasilan,XII IPS 4,Tidak,Tidak
18,18,L,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Wiraswasta,"Rp. 2,000,000 - Rp. 4,999,999",Tidak bekerja,Tidak Berpenghasilan,X IPS 2,Tidak,Tidak
19,19,L,Kec. Tenayan Raya,Bersama orang tua,Jalan kaki,Tidak,Sudah Meninggal,Tidak Berpenghasilan,Tidak bekerja,Tidak Berpenghasilan,XI MIPA 7,Ya,Ya
20,20,L,Kec. Tenayan Raya,Bersama orang tua,Jalan kaki,Tidak,Karyawan Swasta,"Rp. 5,000,000 - Rp. 20,000,000",PNS/TNI/Polri,"Rp. 2,000,000 - Rp. 4,999,999",XI MIPA 3,Tidak,Tidak
21,21,L,Kec. Bukit Raya,Bersama orang tua,Sepeda motor,Tidak,PNS/TNI/Polri,"Rp. 5,000,000 - Rp. 20,000,000",PNS/TNI/Polri,"Rp. 5,000,000 - Rp. 20,000,000",XII IPS 4,Tidak,Tidak
22,22,L,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,PNS/TNI/Polri,"Rp. 2,000,000 - Rp. 4,999,999",PNS/TNI/Polri,"Rp. 2,000,000 - Rp. 4,999,999",XI MIPA 1,Tidak,Tidak
23,23,L,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Wiraswasta,"Rp. 2,000,000 - Rp. 4,999,999",Karyawan Swasta,"Rp. 2,000,000 - Rp. 4,999,999",X IPS 1,Tidak,Tidak
24,24,L,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Karyawan Swasta,"Rp. 5,000,000 - Rp. 20,000,000",Tidak bekerja,Tidak Berpenghasilan,XII IPS 1,Tidak,Tidak
25,25,L,Kec. Bukit Raya,Bersama orang tua,Kendaraan pribadi,Tidak,Karyawan Swasta,"Rp. 2,000,000 - Rp. 4,999,999",PNS/TNI/Polri,"Rp. 2,000,000 - Rp. 4,999,999",X IPS 1,Tidak,Tidak
26,26,L,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Lainnya,"Rp. 500,000 - Rp. 999,999",XI MIPA 1,Tidak,Tidak
27,27,L,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,PNS/TNI/Polri,"Rp. 2,000,000 - Rp. 4,999,999",Tidak bekerja,Tidak Berpenghasilan,XI MIPA 2,Tidak,Ya
28,28,P,Kec. Bukit Raya,Bersama orang tua,Sepeda motor,Tidak,Karyawan Swasta,"Rp. 2,000,000 - Rp. 4,999,999",Tidak bekerja,Tidak Berpenghasilan,XII MIPA 3,Tidak,Tidak
29,29,P,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Wiraswasta,"Rp. 2,000,000 - Rp. 4,999,999",Tidak bekerja,Tidak Berpenghasilan,XII MIPA 4,Tidak,Tidak
30,30,L,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,PNS/TNI/Polri,"Rp. 2,000,000 - Rp. 4,999,999",Tidak bekerja,Tidak Berpenghasilan,XI IPS 1,Tidak,Tidak
31,31,P,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Sudah Meninggal,Tidak Berpenghasilan,Pedagang Kecil,"Rp. 500,000 - Rp. 999,999",XI MIPA 5,Tidak,Ya
32,32,P,Kec. Tenayan Raya,Wali,Sepeda motor,Tidak,Karyawan Swasta,"Rp. 2,000,000 - Rp. 4,999,999",Tidak bekerja,Tidak Berpenghasilan,XII IPS 4,Tidak,Tidak
33,33,L,Kec. Pulau Burung,Bersama orang tua,Jalan kaki,Tidak,Wirausaha,Lebih dari Rp 2.000.000,PNS/TNI/Polri,Lebih dari Rp 2.000.000,X MIPA 5,Tidak,Tidak
34,34,L,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Petani,"Rp. 1,000,000 - Rp. 1,999,999",Petani,"Rp. 500,000 - Rp. 999,999",X IPS 3,Ya,Tidak
35,35,L,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Ya,Sudah Meninggal,Tidak Berpenghasilan,Tidak bekerja,Tidak Berpenghasilan,XII IPS 1,Ya,Ya
36,36,L,Kec. Tenayan Raya,Bersama orang tua,Jalan kaki,Ya,Buruh,"Rp. 500,000 - Rp. 999,999",Tidak bekerja,Tidak Berpenghasilan,XI MIPA 5,Ya,Tidak
37,37,L,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,PNS/TNI/Polri,"Rp. 5,000,000 - Rp. 20,000,000",Tidak bekerja,"Kurang dari Rp. 500,000",XII IPS 4,Tidak,Tidak
38,38,P,Kec. Tenayan Raya,Bersama orang tua,Lainnya,Tidak,Buruh,Kurang dari Rp 1.000.000,Tidak bekerja,Tidak Berpenghasilan,X MIPA 4,Ya,Tidak
39,39,P,Kec. Tenayan Raya,Bersama orang tua,Angkutan umum/bus/pete-pete,Tidak,PNS/TNI/Polri,"Rp. 2,000,000 - Rp. 4,999,999",PNS/TNI/Polri,"Rp. 2,000,000 - Rp. 4,999,999",X MIPA 4,Tidak,Tidak
40,40,L,Kec. Marpoyan Damai,Bersama orang tua,Sepeda motor,Tidak,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Tidak bekerja,Tidak Berpenghasilan,X MIPA 4,Tidak,Tidak
41,41,L,Kec. Tenayan Raya,Bersama orang tua,Jalan kaki,Tidak,Karyawan Swasta,"Rp. 5,000,000 - Rp. 20,000,000",Tidak bekerja,Tidak Berpenghasilan,XII IPS 3,Tidak,Tidak
42,42,L,Kec. Tenayan Raya,Bersama orang tua,Jalan kaki,Tidak,Wiraswasta,Rp 1.000.000 - Rp 2.000.000,Tidak bekerja,Tidak Berpenghasilan,X MIPA 6,Tidak,Tidak
43,43,L,Kec. Tembalang,Bersama orang tua,Mobil/bus antar jemput,Tidak,Karyawan Swasta,"Rp. 2,000,000 - Rp. 4,999,999",Pedagang Kecil,"Rp. 2,000,000 - Rp. 4,999,999",X MIPA 3,Tidak,Tidak
44,44,L,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Wiraswasta,"Rp. 1,000,000 - Rp. 1,999,999",Tidak bekerja,Tidak Berpenghasilan,X IPS 1,Tidak,Tidak
45,45,L,Kec. Tenayan Raya,Bersama orang tua,Lainnya,Tidak,Wiraswasta,"Rp. 1,000,000 - Rp. 1,999,999",Tidak bekerja,Tidak Berpenghasilan,X IPS 4,Tidak,Ya
46,46,P,Kec. Tenayan Raya,Bersama orang tua,Angkutan umum/bus/pete-pete,Ya,Karyawan Swasta,"Rp. 500,000 - Rp. 999,999",Tidak bekerja,Tidak Berpenghasilan,XI IPS 3,Ya,Ya
47,47,L,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Karyawan Swasta,"Rp. 2,000,000 - Rp. 4,999,999",Tidak bekerja,Tidak Berpenghasilan,XI MIPA 3,Tidak,Tidak
48,48,L,Kec. Tenayan Raya,Bersama orang tua,Jalan kaki,Tidak,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Tidak bekerja,Tidak Berpenghasilan,X IPS 1,Tidak,Tidak
49,49,L,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Wirausaha,"Rp. 2,000,000 - Rp. 4,999,999",Tidak bekerja,Tidak Berpenghasilan,XI MIPA 2,Tidak,Tidak
50,50,L,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Wiraswasta,"Rp. 2,000,000 - Rp. 4,999,999",Tidak bekerja,Tidak Berpenghasilan,XI MIPA 7,Tidak,Tidak
51,51,L,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Pensiunan,"Rp. 2,000,000 - Rp. 4,999,999",PNS/TNI/Polri,"Rp. 2,000,000 - Rp. 4,999,999",XII IPS 3,Tidak,Tidak
52,52,P,Kec. Bukit Raya,Bersama orang tua,Sepeda motor,Tidak,PNS/TNI/Polri,"Rp. 5,000,000 - Rp. 20,000,000",PNS/TNI/Polri,"Rp. 5,000,000 - Rp. 20,000,000",XII MIPA 4,Tidak,Tidak
53,53,L,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Tidak bekerja,Tidak Berpenghasilan,XI MIPA 1,Tidak,Tidak
54,54,P,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Wiraswasta,"Rp. 1,000,000 - Rp. 1,999,999",PNS/TNI/Polri,"Rp. 2,000,000 - Rp. 4,999,999",XI MIPA 2,Tidak,Tidak
55,55,P,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Karyawan Swasta,"Rp. 2,000,000 - Rp. 4,999,999",Lainnya,Tidak Berpenghasilan,XI MIPA 4,Tidak,Tidak
56,56,P,Kec. Tenayan Raya,Bersama orang tua,Mobil/bus antar jemput,Tidak,Karyawan Swasta,"Rp. 5,000,000 - Rp. 20,000,000",Tidak bekerja,Tidak Berpenghasilan,XI MIPA 6,Tidak,Tidak
57,57,P,Kec. Tenayan Raya,Bersama orang tua,Mobil pribadi,Tidak,Wiraswasta,"Rp. 1,000,000 - Rp. 1,999,999",Lainnya,Tidak Berpenghasilan,XII IPS 2,Tidak,Tidak
58,58,P,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,PNS/TNI/Polri,"Rp. 2,000,000 - Rp. 4,999,999",Tidak bekerja,Tidak Berpenghasilan,X IPS 1,Tidak,Tidak
59,59,P,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Pedagang Kecil,"Rp. 500,000 - Rp. 999,999",Tidak bekerja,Tidak Berpenghasilan,X IPS 4,Tidak,Tidak
60,60,P,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,PNS/TNI/Polri,"Rp. 2,000,000 - Rp. 4,999,999",Tidak bekerja,Tidak Berpenghasilan,XI MIPA 7,Tidak,Tidak
61,61,P,Kec. Tenayan Raya,Bersama orang tua,Jalan kaki,Ya,Petani,"Rp. 500,000 - Rp. 999,999",Tidak bekerja,Tidak Berpenghasilan,XI MIPA 6,Ya,Tidak
62,62,P,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Wirausaha,Lebih dari Rp 2.000.000,Tidak bekerja,Tidak Berpenghasilan,X MIPA 1,Tidak,Tidak
63,63,L,Kec. Tenayan Raya,Bersama orang tua,Jalan kaki,Ya,Wiraswasta,"Rp. 1,000,000 - Rp. 1,999,999",Lainnya,"Rp. 500,000 - Rp. 999,999",X IPS 3,Tidak,Ya
64,64,P,Kec. Tenayan Raya,Bersama orang tua,Jalan kaki,Tidak,Petani,"Rp. 5,000,000 - Rp. 20,000,000",Lainnya,Tidak Berpenghasilan,X MIPA 4,Tidak,Tidak
65,65,P,Kec. Tenayan Raya,Bersama orang tua,Mobil pribadi,Tidak,Wiraswasta,"Rp. 5,000,000 - Rp. 20,000,000",Karyawan Swasta,"Rp. 2,000,000 - Rp. 4,999,999",X MIPA 4,Tidak,Tidak
66,66,P,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Wiraswasta,"Rp. 2,000,000 - Rp. 4,999,999",Tidak bekerja,Tidak Berpenghasilan,XII MIPA 3,Tidak,Tidak
67,67,L,Kec. Tenayan Raya,Bersama orang tua,Kendaraan pribadi,Tidak,Wiraswasta,Rp 1.000.000 - Rp 2.000.000,Tidak bekerja,Tidak Berpenghasilan,X MIPA 4,Tidak,Tidak
68,68,P,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Karyawan Swasta,"Rp. 2,000,000 - Rp. 4,999,999",Wiraswasta,"Rp. 5,000,000 - Rp. 20,000,000",XII MIPA 3,Tidak,Tidak
69,69,P,Kec. Bukit Raya,Bersama orang tua,Sepeda motor,Tidak,Karyawan Swasta,"Rp. 2,000,000 - Rp. 4,999,999",Karyawan Swasta,"Rp. 2,000,000 - Rp. 4,999,999",XII MIPA 3,Tidak,Tidak
70,70,P,Kec. Bukit Raya,Bersama orang tua,Sepeda motor,Tidak,Wiraswasta,"Rp. 2,000,000 - Rp. 4,999,999",Tidak bekerja,Tidak Berpenghasilan,XII IPS 3,Tidak,Tidak
71,71,L,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Ya,Tidak bekerja,"Rp. 1,000,000 - Rp. 1,999,999",Peternak,"Rp. 500,000 - Rp. 999,999",XI IPS 1,Ya,Tidak
72,72,P,Kec. Marpoyan Damai,Bersama orang tua,Jalan kaki,Tidak,Karyawan Swasta,"Rp. 2,000,000 - Rp. 4,999,999",Tidak bekerja,Tidak Berpenghasilan,X MIPA 3,Tidak,Tidak
73,73,P,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Karyawan Swasta,"Rp. 5,000,000 - Rp. 20,000,000",Tidak bekerja,Tidak Berpenghasilan,X IPS 1,Tidak,Tidak
74,74,P,Kec. Tenayan Raya,Bersama orang tua,Jalan kaki,Ya,Wirausaha,"Rp. 1,000,000 - Rp. 1,999,999",Tidak bekerja,Tidak Berpenghasilan,XI IPS 2,Ya,Ya
75,75,P,Kec. Bukit Raya,Bersama orang tua,Mobil pribadi,Tidak,Karyawan Swasta,"Rp. 5,000,000 - Rp. 20,000,000",Tidak bekerja,"Kurang dari Rp. 500,000",XII MIPA 4,Tidak,Tidak
76,76,P,Kec. Tenayan Raya,Bersama orang tua,Angkutan umum/bus/pete-pete,Ya,Wiraswasta,Kurang dari Rp 1.000.000,Wirausaha,Kurang dari Rp 1.000.000,X IPS 3,Ya,Ya
77,77,P,Kec. Tenayan Raya,Bersama orang tua,Kendaraan pribadi,Tidak,Karyawan Swasta,Lebih dari Rp 2.000.000,Tidak bekerja,Tidak Berpenghasilan,X MIPA 1,Tidak,Tidak
78,78,P,Kec. Tenayan Raya,Bersama orang tua,Kendaraan pribadi,Tidak,Buruh,Rp 1.000.000 - Rp 2.000.000,Tidak bekerja,Tidak Berpenghasilan,X MIPA 2,Tidak,Ya
79,79,P,Kec. Tenayan Raya,Bersama orang tua,Jalan kaki,Tidak,Pedagang Kecil,Kurang dari Rp 1.000.000,Tidak bekerja,Tidak Berpenghasilan,X MIPA 4,Tidak,Tidak
80,80,P,Kec. Bukit Raya,Bersama orang tua,Sepeda motor,Tidak,Karyawan Swasta,"Rp. 5,000,000 - Rp. 20,000,000",Tidak bekerja,Tidak Berpenghasilan,X MIPA 1,Tidak,Tidak
81,81,L,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Wiraswasta,"Rp. 1,000,000 - Rp. 1,999,999",Tidak bekerja,Tidak Berpenghasilan,XII IPS 3,Tidak,Tidak
82,82,P,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Karyawan Swasta,"Rp. 2,000,000 - Rp. 4,999,999",Tidak bekerja,Tidak Berpenghasilan,XII MIPA 4,Tidak,Tidak
83,83,P,Kec. Bukit Raya,Bersama orang tua,Sepeda motor,Tidak,Karyawan Swasta,"Rp. 2,000,000 - Rp. 4,999,999",PNS/TNI/Polri,"Rp. 2,000,000 - Rp. 4,999,999",XII MIPA 2,Tidak,Tidak
84,84,P,Kec. Tenayan Raya,Wali,Sepeda motor,Tidak,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",XII MIPA 1,Tidak,Tidak
85,85,P,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Wiraswasta,"Rp. 2,000,000 - Rp. 4,999,999",Tidak bekerja,Tidak Berpenghasilan,XI MIPA 5,Tidak,Tidak
86,86,P,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Wiraswasta,"Rp. 2,000,000 - Rp. 4,999,999",Tidak bekerja,Tidak Berpenghasilan,X MIPA 3,Tidak,Tidak
87,87,P,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Wiraswasta,"Rp. 2,000,000 - Rp. 4,999,999",Tidak bekerja,Tidak Berpenghasilan,XI IPS 1,Tidak,Tidak
88,88,P,Kec. Tenayan Raya,Bersama orang tua,Jalan kaki,Tidak,Wiraswasta,"Rp. 1,000,000 - Rp. 1,999,999",Tidak bekerja,Tidak Berpenghasilan,XII MIPA 1,Tidak,Tidak
89,89,P,Kec. Bukit Raya,Bersama orang tua,Mobil pribadi,Tidak,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Tidak bekerja,Tidak Berpenghasilan,XII IPS 4,Tidak,Tidak
90,90,L,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Wiraswasta,"Rp. 2,000,000 - Rp. 4,999,999",Karyawan Swasta,"Rp. 2,000,000 - Rp. 4,999,999",XII IPS 2,Tidak,Tidak
91,91,L,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Wirausaha,"Rp. 2,000,000 - Rp. 4,999,999",Tidak bekerja,Tidak Berpenghasilan,XI IPS 3,Tidak,Tidak
92,92,L,Kec. Bukit Raya,Bersama orang tua,Sepeda motor,Tidak,Karyawan Swasta,"Rp. 2,000,000 - Rp. 4,999,999",Tidak bekerja,Tidak Berpenghasilan,XII MIPA 3,Tidak,Tidak
93,93,P,Kec. Tenayan Raya,Bersama orang tua,Jalan kaki,Ya,Pedagang Kecil,Rp 1.000.000 - Rp 2.000.000,Tidak bekerja,Tidak Berpenghasilan,X IPS 3,Ya,Ya
94,94,P,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Pedagang Kecil,"Rp. 500,000 - Rp. 999,999",Tidak bekerja,Tidak Berpenghasilan,XI MIPA 4,Tidak,Tidak
95,95,L,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Pedagang Kecil,"Rp. 2,000,000 - Rp. 4,999,999",Pedagang Kecil,"Rp. 2,000,000 - Rp. 4,999,999",XI MIPA 2,Tidak,Tidak
96,96,P,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Ya,Wiraswasta,"Rp. 1,000,000 - Rp. 1,999,999",Tidak bekerja,Tidak Berpenghasilan,XI IPS 2,Tidak,Ya
97,97,P,Kec. Tenayan Raya,Bersama orang tua,Jalan kaki,Tidak,Karyawan Swasta,Rp 1.000.000 - Rp 2.000.000,Tidak bekerja,Tidak Berpenghasilan,X IPS 4,Tidak,Tidak
98,98,L,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Buruh,"Rp. 500,000 - Rp. 999,999",Karyawan Swasta,"Rp. 2,000,000 - Rp. 4,999,999",XII MIPA 1,Tidak,Tidak
99,99,L,Kec. Tenayan Raya,Wali,Sepeda motor,Tidak,Wiraswasta,"Rp. 2,000,000 - Rp. 4,999,999",Pedagang Kecil,"Rp. 2,000,000 - Rp. 4,999,999",XII IPS 4,Tidak,Tidak
100,100,L,Kec. Tenayan Raya,Bersama orang tua,Jalan kaki,Tidak,Wiraswasta,"Rp. 500,000 - Rp. 999,999",Tidak bekerja,Tidak Berpenghasilan,X MIPA 3,Tidak,Tidak
101,101,L,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Wiraswasta,"Rp. 5,000,000 - Rp. 20,000,000",Wiraswasta,"Rp. 2,000,000 - Rp. 4,999,999",XI MIPA 3,Tidak,Tidak
102,102,P,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Wiraswasta,"Rp. 2,000,000 - Rp. 4,999,999",PNS/TNI/Polri,"Rp. 2,000,000 - Rp. 4,999,999",XI MIPA 1,Tidak,Tidak
103,103,P,Kec. Tenayan Raya,Bersama orang tua,Jalan kaki,Tidak,Buruh,"Rp. 500,000 - Rp. 999,999",Tidak bekerja,Tidak Berpenghasilan,XI MIPA 1,Tidak,Tidak
104,104,P,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,PNS/TNI/Polri,"Rp. 2,000,000 - Rp. 4,999,999",Tidak bekerja,Tidak Berpenghasilan,XI MIPA 3,Tidak,Tidak
105,105,L,Kec. Tenayan Raya,Bersama orang tua,Lainnya,Tidak,Wiraswasta,Kurang dari Rp 1.000.000,Tidak bekerja,Tidak Berpenghasilan,X MIPA 2,Tidak,Tidak
106,106,L,Kec. Tenayan Raya,Bersama orang tua,Kendaraan pribadi,Ya,Wiraswasta,Kurang dari Rp 1.000.000,Tidak bekerja,Tidak Berpenghasilan,X MIPA 4,Ya,Ya
107,107,L,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Wiraswasta,"Rp. 2,000,000 - Rp. 4,999,999",Tidak bekerja,Tidak Berpenghasilan,XI MIPA 6,Tidak,Tidak
108,108,L,Kec. Tenayan Raya,Wali,Mobil/bus antar jemput,Tidak,Wiraswasta,"Rp. 2,000,000 - Rp. 4,999,999",Tidak bekerja,Tidak Berpenghasilan,XI MIPA 2,Tidak,Tidak
109,109,L,Kec. Tenayan Raya,Bersama orang tua,Jalan kaki,Tidak,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Tidak bekerja,Tidak Berpenghasilan,X IPS 4,Tidak,Tidak
110,110,L,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Wiraswasta,"Rp. 2,000,000 - Rp. 4,999,999",Tidak bekerja,Tidak Berpenghasilan,XII IPS 1,Tidak,Tidak
111,111,L,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Wiraswasta,"Rp. 1,000,000 - Rp. 1,999,999",PNS/TNI/Polri,"Rp. 2,000,000 - Rp. 4,999,999",XII MIPA 3,Tidak,Tidak
112,112,L,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Wiraswasta,"Rp. 2,000,000 - Rp. 4,999,999",Tidak bekerja,Tidak Berpenghasilan,XI MIPA 5,Tidak,Tidak
113,113,P,Kec. Tenayan Raya,Bersama orang tua,Angkutan umum/bus/pete-pete,Tidak,PNS/TNI/Polri,Rp 1.000.000 - Rp 2.000.000,Tidak bekerja,Tidak Berpenghasilan,X MIPA 5,Tidak,Tidak
114,114,P,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Wiraswasta,"Rp. 1,000,000 - Rp. 1,999,999",Tidak bekerja,Tidak Berpenghasilan,XI MIPA 7,Tidak,Tidak
115,115,P,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Pedagang Kecil,"Rp. 1,000,000 - Rp. 1,999,999",Tidak bekerja,Tidak Berpenghasilan,XI MIPA 1,Tidak,Tidak
116,116,P,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Wiraswasta,"Rp. 1,000,000 - Rp. 1,999,999",Tidak bekerja,Tidak Berpenghasilan,XI MIPA 5,Tidak,Ya
117,117,L,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,PNS/TNI/Polri,"Rp. 2,000,000 - Rp. 4,999,999",PNS/TNI/Polri,"Rp. 2,000,000 - Rp. 4,999,999",X IPS 1,Tidak,Tidak
118,118,P,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Pedagang Kecil,"Rp. 2,000,000 - Rp. 4,999,999",Karyawan Swasta,"Rp. 2,000,000 - Rp. 4,999,999",XI MIPA 4,Tidak,Tidak
